סמל_ישוב,שם_ישוב,סמל_נפה,שם_נפה,סמל_מועצה_איזורית,שם_מועצה
327,שדות ים ,32,חדרה ,15,חוף הכרמל
1286,שגב-שלום ,62,באר שבע ,0,
2046,סגולה ,61,אשקלון ,35,יואב
1132,שניר ,21,צפת ,1,הגליל העליון
538,שעב ,24,עכו ,0,
4009,שעל ,29,גולן ,71,גולן
856,שעלבים ,43,רמלה ,30,גזר
661,שער אפרים ,41,השרון ,18,לב השרון
237,שער העמקים ,31,חיפה ,12,זבולון
264,שער הגולן ,22,כנרת ,6,עמק הירדן
921,שער מנשה ,32,חדרה ,14,מנשה
3720,שערי תקווה ,73,טול כרם ,72,שומרון
306,שדמות דבורה ,22,כנרת ,3,הגליל התחתון
3578,שדמות מחולה ,75,ירדן )יריחו( ,75,ערבות הירדן
692,שפיר ,61,אשקלון ,34,שפיר
7,שחר ,61,אשקלון ,50,לכיש
1266,שחרות ,62,באר שבע ,53,חבל אילות
1373,שלווה במדבר ,62,באר שבע ,48,רמת נגב
873,שלווה ,61,אשקלון ,34,שפיר
432,שמרת ,24,עכו ,4,מטה אשר
366,שמיר ,21,צפת ,1,הגליל העליון
1287,שני ,62,באר שבע ,78,הר חברון
3649,שקד ,71,ג'נין ,72,שומרון
292,שרונה ,22,כנרת ,3,הגליל התחתון
398,שרשרת ,62,באר שבע ,39,שדות נגב
1377,שבי דרום ,62,באר שבע ,42,מרחבים
3571,שבי שומרון ,72,שכם ,72,שומרון
282,שבי ציון ,24,עכו ,4,מטה אשר
324,שאר ישוב ,21,צפת ,55,מבואות החרמון
555,שדמה ,44,רחובות ,32,גדרות
8800,שפרעם ,24,עכו ,0,
232,שפיים ,41,השרון ,19,חוף השרון
846,שפר ,21,צפת ,2,מרום הגליל
658,שייח' דנון ,24,עכו ,4,מטה אשר
1160,שכניה ,24,עכו ,56,משגב
812,שלומי ,24,עכו ,0,
439,שלוחות ,23,עפולה ,7,עמק המעיינות
1233,שקף ,61,אשקלון ,50,לכיש
1045,שתולה ,24,עכו ,52,מעלה יוסף
763,שתולים ,61,אשקלון ,33,באר טוביה
1378,שיזף ,62,באר שבע ,48,רמת נגב
527,שזור ,24,עכו ,2,מרום הגליל
865,שיבולים ,62,באר שבע ,39,שדות נגב
913,שבלי - אום אל-גנם ,23,עפולה ,0,
1165,שילת ,43,רמלה ,25,חבל מודיעין
3641,שילה ,74,ראמאללה ,73,מטה בנימין
3784,שמעה ,77,חברון ,78,הר חברון
1337,שמשית ,23,עפולה ,9,עמק יזרעאל
1197,נאות סמדר ,62,באר שבע ,53,חבל אילות
1364,שלומית ,62,באר שבע ,38,אשכול
741,שואבה ,11,ירושלים ,26,מטה יהודה
1304,שוהם ,43,רמלה ,0,
614,שומרה ,24,עכו ,52,מעלה יוסף
1265,שומריה ,62,באר שבע ,41,בני שמעון
415,שוקדה ,62,באר שבע ,39,שדות נגב
1235,שורשים ,24,עכו ,56,משגב
456,שורש ,11,ירושלים ,26,מטה יהודה
224,שושנת העמקים ,41,השרון ,16,עמק חפר
1102,צוקי ים ,41,השרון ,16,עמק חפר
394,שובל ,62,באר שבע ,41,בני שמעון
761,שובה ,62,באר שבע ,39,שדות נגב
610,סתריה ,43,רמלה ,30,גזר
1238,סופה ,62,באר שבע ,38,אשכול
526,סולם ,23,עפולה ,66,בוסתאן אל-מרג'
3756,סוסיה ,77,חברון ,78,הר חברון
752,תעוז ,11,ירושלים ,26,מטה יהודה
462,טל שחר ,11,ירושלים ,26,מטה יהודה
1181,טל-אל ,24,עכו ,56,משגב
2050,"תלמי ביל""ו ",62,באר שבע ,42,מרחבים
2003,תלמי אלעזר ,32,חדרה ,14,מנשה
1051,תלמי אליהו ,62,באר שבע ,38,אשכול
744,תלמי יפה ,61,אשקלון ,36,חוף אשקלון
727,תלמי יחיאל ,61,אשקלון ,33,באר טוביה
1237,תלמי יוסף ,62,באר שבע ,38,אשכול
3788,טלמון ,74,ראמאללה ,73,מטה בנימין
8900,טמרה ,24,עכו ,0,
547,טמרה (יזרעאל) ,23,עפולה ,8,הגלבוע
970,תראבין א-צאנע (שבט) ,62,באר שבע ,0,
1346,תראבין א-צאנע(ישוב) ,62,באר שבע ,69,אל קסום
778,תרום ,11,ירושלים ,26,מטה יהודה
2730,טייבה ,41,השרון ,0,
497,טייבה (בעמק) ,23,עפולה ,8,הגלבוע
2062,תאשור ,62,באר שבע ,41,בני שמעון
1214,טפחות ,22,כנרת ,2,מרום הגליל
103,תל עדשים ,23,עפולה ,9,עמק יזרעאל
5000,תל אביב - יפו ,51,תל אביב ,0,
154,תל מונד ,41,השרון ,0,
719,תל קציר ,22,כנרת ,6,עמק הירדן
1054,תל שבע ,62,באר שבע ,0,
1283,תל תאומים ,23,עפולה ,7,עמק המעיינות
287,תל יצחק ,41,השרון ,19,חוף השרון
84,תל יוסף ,23,עפולה ,8,הגלבוע
1177,טללים ,62,באר שבע ,48,רמת נגב
814,תלמים ,61,אשקלון ,50,לכיש
3719,תלם ,77,חברון ,78,הר חברון
3743,טנא ,77,חברון ,78,הר חברון
2002,תנובות ,41,השרון ,18,לב השרון
3563,תקוע ,76,בית לחם ,76,גוש עציון
665,תקומה ,62,באר שבע ,39,שדות נגב
6700,טבריה ,22,כנרת ,0,
2061,תדהר ,62,באר שבע ,41,בני שמעון
709,תפרח ,62,באר שבע ,42,מרחבים
163,תימורים ,61,אשקלון ,33,באר טוביה
1244,תמרת ,23,עפולה ,9,עמק יזרעאל
2100,טירת כרמל ,31,חיפה ,0,
663,טירת יהודה ,42,פתח תקווה ,25,חבל מודיעין
268,טירת צבי ,23,עפולה ,7,עמק המעיינות
2720,טירה ,41,השרון ,0,
10,תירוש ,11,ירושלים ,26,מטה יהודה
3558,תומר ,75,ירדן )יריחו( ,75,ערבות הירדן
4029,רמת טראמפ ,29,גולן ,71,גולן
962,טובא-זנגריה ,21,צפת ,0,
498,טורעאן ,25,נצרת ,0,
1083,תושיה ,62,באר שבע ,39,שדות נגב
1172,תובל ,24,עכו ,56,משגב
446,אודים ,41,השרון ,19,חוף השרון
2710,אום אל-פחם ,32,חדרה ,0,
2024,אום אל-קוטוף ,32,חדרה ,14,מנשה
1358,אום בטין ,62,באר שבע ,69,אל קסום
957,עוקבי (בנו עוקבה) ,62,באר שבע ,0,
403,אורים ,62,באר שבע ,38,אשכול
278,אושה ,31,חיפה ,12,זבולון
826,עוזה ,61,אשקלון ,34,שפיר
528,עוזייר ,25,נצרת ,65,אל-בטוף
1133,ורדון ,61,אשקלון ,35,יואב
3639,ורד יריחו ,75,ירדן )יריחו( ,74,מגילות ים המלח
1138,יעד ,24,עכו ,56,משגב
795,יערה ,24,עכו ,52,מעלה יוסף
1117,יעל ,23,עפולה ,8,הגלבוע
577,יד בנימין ,44,רחובות ,31,נחל שורק
758,יד חנה ,41,השרון ,16,עמק חפר
1134,יד השמונה ,11,ירושלים ,26,מטה יהודה
358,יד מרדכי ,61,אשקלון ,36,חוף אשקלון
775,יד נתן ,61,אשקלון ,50,לכיש
64,"יד רמב""ם ",43,רמלה ,30,גזר
499,יפיע ,25,נצרת ,0,
3566,יפית ,75,ירדן )יריחו( ,75,ערבות הירדן
798,יגל ,43,רמלה ,40,שדות דן
96,יגור ,31,חיפה ,12,זבולון
1158,יהל ,62,באר שבע ,53,חבל אילות
811,יכיני ,61,אשקלון ,37,שער הנגב
1295,יאנוח-ג'ת ,24,עכו ,0,
753,ינוב ,41,השרון ,18,לב השרון
3647,יקיר ,73,טול כרם ,72,שומרון
417,יקום ,41,השרון ,19,חוף השרון
2026,ירדנה ,23,עפולה ,7,עמק המעיינות
718,ירחיב ,42,פתח תקווה ,20,דרום השרון
183,ירקונה ,42,פתח תקווה ,20,דרום השרון
575,יסעור ,24,עכו ,4,מטה אשר
828,ישרש ,43,רמלה ,30,גזר
1227,יתד ,62,באר שבע ,38,אשכול
2660,יבנה ,44,רחובות ,0,
46,יבנאל ,22,כנרת ,0,
759,יציץ ,43,רמלה ,30,גזר
1044,יעף ,41,השרון ,18,לב השרון
1144,ידידה ,11,ירושלים ,26,מטה יהודה
233,כפר ידידיה ,41,השרון ,16,עמק חפר
409,יחיעם ,24,עכו ,4,מטה אשר
9400,יהוד-מונוסון ,42,פתח תקווה ,0,
831,ירוחם ,62,באר שבע ,0,
916,ישע ,62,באר שבע ,38,אשכול
440,יסודות ,44,רחובות ,31,נחל שורק
29,יסוד המעלה ,21,צפת ,0,
1232,יבול ,62,באר שבע ,38,אשכול
134,יפעת ,23,עפולה ,9,עמק יזרעאל
453,יפתח ,21,צפת ,1,הגליל העליון
2011,ינון ,61,אשקלון ,33,באר טוביה
623,יראון ,21,צפת ,1,הגליל העליון
502,ירכא ,24,עכו ,0,
805,ישעי ,11,ירושלים ,26,מטה יהודה
3607,"ייט""ב ",75,ירדן )יריחו( ,75,ערבות הירדן
3749,יצהר ,72,שכם ,72,שומרון
452,יזרעאל ,23,עפולה ,8,הגלבוע
1112,יודפת ,24,עכו ,56,משגב
4007,יונתן ,29,גולן ,71,גולן
240,יקנעם עילית ,23,עפולה ,0,
241,יקנעם (מושבה) ,23,עפולה ,13,מגידו
803,יושיביה ,62,באר שבע ,39,שדות נגב
866,יטבתה ,62,באר שבע ,53,חבל אילות
2009,יובל ,21,צפת ,55,מבואות החרמון
1226,יובלים ,24,עכו ,56,משגב
2742,זבארגה (שבט) ,62,באר שבע ,0,
1079,צפרירים ,11,ירושלים ,26,מטה יהודה
594,צפריה ,43,רמלה ,40,שדות דן
816,זנוח ,11,ירושלים ,26,מטה יהודה
975,זרזיר ,23,עפולה ,0,
815,זבדיאל ,61,אשקלון ,34,שפיר
413,צאלים ,62,באר שבע ,38,אשכול
8000,צפת ,21,צפת ,0,
799,זכריה ,11,ירושלים ,26,מטה יהודה
796,צלפון ,11,ירושלים ,26,מטה יהודה
1290,זמר ,41,השרון ,0,
818,זרחיה ,61,אשקלון ,34,שפיר
2064,זרועה ,62,באר שבע ,39,שדות נגב
612,צרופה ,32,חדרה ,15,חוף הכרמל
788,זיתן ,43,רמלה ,40,שדות דן
9300,זכרון יעקב ,32,חדרה ,0,
1065,זמרת ,62,באר שבע ,39,שדות נגב
613,ציפורי ,23,עפולה ,9,עמק יזרעאל
584,זיקים ,61,אשקלון ,36,חוף אשקלון
1213,צבעון ,21,צפת ,1,הגליל העליון
1150,צופר ,62,באר שבע ,54,הערבה התיכונה
198,צופית ,42,פתח תקווה ,20,דרום השרון
1111,צופיה ,44,רחובות ,29,חבל יבנה
1136,צוחר ,62,באר שבע ,38,אשכול
44,זוהר ,61,אשקלון ,50,לכיש
567,צרעה ,11,ירושלים ,26,מטה יהודה
465,צובה ,11,ירושלים ,26,מטה יהודה
3791,צופים ,73,טול כרם ,72,שומרון
1113,צור הדסה ,11,ירושלים ,26,מטה יהודה
276,צור משה ,41,השרון ,18,לב השרון
1148,צור נתן ,42,פתח תקווה ,20,דרום השרון
1345,צור יצחק ,42,פתח תקווה ,20,דרום השרון
774,צוריאל ,24,עכו ,52,מעלה יוסף
1221,צורית ,24,עכו ,56,משגב
1180,צביה ,24,עכו ,56,משגב
